"department","region","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"Analytics","region_29","Bachelor","m","sourcing",2,30,"3",7,0,75,"No"
"Procurement","region_30","Bachelor","f","sourcing",1,32,"3",4,0,70,"No"
"Technology","region_15","Bachelor","m","sourcing",2,36,"4",3,0,79,"No"
"Sales & Marketing","region_2","Master_and_above","m","sourcing",1,45,"4",13,0,51,"Yes"
"Sales & Marketing","region_6","Bachelor","m","other",1,28,"No_Rating",1,0,96,"Yes"
"Technology","region_7","Bachelor","f","other",1,30,"5",6,0,82,"No"
"Sales & Marketing","region_7","Master_and_above","f","other",1,38,"5",4,0,50,"No"
"Operations","region_22","Bachelor","m","other",1,49,"3",16,0,60,"No"
"Procurement","region_2","Master_and_above","f","other",1,52,"3",4,0,64,"No"
"Procurement","region_28","Master_and_above","f","other",2,34,"1",6,0,70,"No"
"Operations","region_15","Master_and_above","f","other",1,48,"5",9,0,59,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",3,34,"1",7,0,51,"No"
"HR","region_2","Bachelor","m","other",1,38,"3",3,0,50,"No"
"Operations","region_15","Master_and_above","f","other",1,35,"2",4,0,59,"Yes"
"Technology","region_22","Bachelor","f","sourcing",2,31,"4",2,1,84,"Yes"
"Procurement","region_15","Bachelor","m","other",2,29,"No_Rating",1,0,86,"Yes"
"Sales & Marketing","region_2","Bachelor","m","other",2,45,"4",7,0,48,"No"
"Finance","region_28","Bachelor","m","sourcing",4,27,"4",2,0,59,"No"
"Legal","region_2","Below_Secondary","m","sourcing",1,28,"No_Rating",1,0,59,"No"
"Sales & Marketing","region_13","Bachelor","m","sourcing",1,42,"4",12,0,50,"No"
"Technology","region_14","Master_and_above","f","sourcing",1,34,"4",7,0,79,"No"
"Procurement","region_27","Bachelor","f","sourcing",1,37,"2",8,0,67,"No"
"Sales & Marketing","region_2","No_Education","f","other",1,38,"1",3,0,51,"No"
"Operations","region_15","Bachelor","m","sourcing",1,42,"1",13,0,59,"No"
"Technology","region_22","Bachelor","m","sourcing",2,28,"1",2,0,79,"No"
"Sales & Marketing","region_14","Bachelor","m","sourcing",1,39,"3",10,0,49,"No"
"Technology","region_5","Master_and_above","m","other",1,34,"4",10,0,81,"No"
"Sales & Marketing","region_22","Master_and_above","m","sourcing",1,36,"1",10,0,51,"No"
"Sales & Marketing","region_22","Bachelor","f","sourcing",1,30,"5",8,0,48,"No"
"Operations","region_8","Bachelor","f","other",1,34,"2",5,0,62,"No"
"Sales & Marketing","region_21","Bachelor","m","sourcing",1,35,"3",10,0,53,"No"
"Sales & Marketing","region_8","Bachelor","m","sourcing",2,26,"No_Rating",1,0,49,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,29,"2",2,0,50,"No"
"Sales & Marketing","region_12","Bachelor","m","sourcing",1,24,"3",2,0,52,"No"
"Procurement","region_2","Bachelor","f","sourcing",3,35,"4",3,0,72,"No"
"Procurement","region_2","Bachelor","f","sourcing",1,26,"No_Rating",1,0,69,"No"
"Procurement","region_2","Master_and_above","m","sourcing",1,43,"3",3,0,70,"No"
"Sales & Marketing","region_17","Master_and_above","m","other",1,34,"5",10,0,53,"No"
"Sales & Marketing","region_7","Master_and_above","m","other",3,40,"3",6,0,49,"No"
"Sales & Marketing","region_6","Bachelor","f","other",1,30,"3",2,0,41,"No"
"Analytics","region_15","Master_and_above","m","sourcing",1,40,"5",6,0,86,"No"
"Procurement","region_2","Bachelor","m","other",4,38,"3",5,0,71,"No"
"Sales & Marketing","region_32","No_Education","m","sourcing",1,26,"4",2,0,46,"No"
"Sales & Marketing","region_21","Bachelor","m","sourcing",1,40,"1",3,0,45,"No"
"R&D","region_26","Master_and_above","m","other",1,28,"No_Rating",1,0,85,"No"
"Operations","region_7","Bachelor","f","sourcing",1,33,"4",5,0,60,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,42,"2",12,0,53,"No"
"HR","region_13","Bachelor","m","other",1,26,"4",4,0,47,"No"
"Analytics","region_29","Bachelor","m","sourcing",1,36,"3",10,0,85,"No"
"Procurement","region_2","Bachelor","f","other",1,32,"5",7,0,70,"No"
"Sales & Marketing","region_31","Master_and_above","m","sourcing",1,48,"1",14,0,50,"No"
"Operations","region_20","Bachelor","m","other",1,27,"3",3,0,58,"No"
"Technology","region_2","Bachelor","m","other",1,31,"3",3,0,83,"Yes"
"HR","region_22","Bachelor","f","other",1,27,"3",2,0,50,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",2,34,"1",6,0,53,"No"
"Technology","region_1","Bachelor","f","sourcing",1,24,"3",2,0,82,"No"
"Sales & Marketing","region_4","Master_and_above","m","sourcing",1,40,"3",3,0,48,"Yes"
"Sales & Marketing","region_13","Bachelor","m","other",1,58,"4",31,0,52,"No"
"Analytics","region_22","Bachelor","m","other",1,31,"3",3,0,86,"No"
"Sales & Marketing","region_13","Bachelor","m","other",1,41,"3",10,1,52,"No"
"Procurement","region_23","Bachelor","m","other",1,31,"5",4,0,65,"No"
"Sales & Marketing","region_7","Bachelor","m","other",1,47,"3",16,0,52,"No"
"Procurement","region_10","Master_and_above","f","other",1,42,"3",4,0,69,"No"
"Procurement","region_5","Bachelor","f","other",1,27,"4",1,0,69,"No"
"Procurement","region_13","Bachelor","m","other",1,34,"4",4,0,66,"No"
"Operations","region_13","Bachelor","m","sourcing",1,38,"5",8,0,62,"Yes"
"Operations","region_12","Bachelor","m","sourcing",1,28,"5",2,0,60,"No"
"Operations","region_27","Bachelor","m","sourcing",1,30,"3",11,0,56,"No"
"Sales & Marketing","region_22","Bachelor","m","referred",1,30,"3",4,0,49,"No"
"Operations","region_28","Bachelor","m","other",2,33,"2",3,0,56,"No"
"Technology","region_2","Master_and_above","f","sourcing",1,57,"3",24,0,80,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,30,"3",3,0,51,"No"
"Operations","region_2","Master_and_above","m","sourcing",1,42,"4",8,0,59,"No"
"Procurement","region_16","Bachelor","f","other",1,56,"3",16,0,64,"No"
"Sales & Marketing","region_16","Bachelor","f","other",1,28,"4",2,0,48,"No"
"Legal","region_22","Bachelor","m","other",1,25,"5",2,0,62,"No"
"Operations","region_14","Bachelor","f","other",1,27,"No_Rating",1,0,58,"No"
"Sales & Marketing","region_15","Bachelor","m","other",1,38,"2",6,0,50,"No"
"Sales & Marketing","region_2","No_Education","m","other",1,22,"No_Rating",1,0,51,"No"
"Sales & Marketing","region_30","Bachelor","m","other",2,31,"5",5,1,51,"No"
"Sales & Marketing","region_2","Bachelor","f","other",1,39,"4",9,0,54,"No"
"Technology","region_22","Bachelor","f","other",1,27,"3",3,0,81,"No"
"Operations","region_15","Bachelor","m","sourcing",1,48,"4",2,0,59,"No"
"Analytics","region_32","Bachelor","m","other",2,36,"2",3,0,82,"No"
"Analytics","region_32","No_Education","m","sourcing",1,29,"3",4,0,89,"No"
"Technology","region_22","Bachelor","m","referred",2,32,"3",5,0,83,"No"
"Sales & Marketing","region_2","No_Education","m","other",3,21,"3",2,0,54,"No"
"Procurement","region_2","Bachelor","f","other",4,50,"4",6,0,67,"No"
"Operations","region_29","Master_and_above","m","other",1,45,"4",6,0,58,"No"
"Analytics","region_19","Bachelor","m","other",1,33,"3",9,0,86,"No"
"Procurement","region_23","Bachelor","f","sourcing",1,28,"3",6,0,74,"No"
"Operations","region_2","Bachelor","m","other",1,30,"1",2,0,57,"No"
"Sales & Marketing","region_11","No_Education","m","sourcing",1,24,"No_Rating",1,0,51,"No"
"Analytics","region_15","Bachelor","m","other",1,31,"2",5,0,85,"No"
"Sales & Marketing","region_20","Bachelor","m","other",1,43,"5",6,0,49,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,36,"5",4,0,49,"No"
"Operations","region_30","Bachelor","m","other",1,31,"No_Rating",1,0,62,"No"
"Technology","region_27","Bachelor","f","referred",1,30,"5",2,0,79,"No"
"Operations","region_4","Master_and_above","f","sourcing",1,41,"4",3,0,60,"No"
"Sales & Marketing","region_22","Master_and_above","m","sourcing",1,28,"1",4,0,50,"No"
"Sales & Marketing","region_23","Bachelor","m","other",1,34,"4",10,0,47,"No"
"Technology","region_17","Bachelor","m","sourcing",1,26,"No_Rating",1,0,80,"No"
"Operations","region_2","Bachelor","f","other",1,52,"3",8,0,54,"No"
"Sales & Marketing","region_24","Bachelor","m","other",2,32,"1",7,0,55,"No"
"Analytics","region_22","Master_and_above","m","other",2,39,"5",2,0,86,"No"
"Sales & Marketing","region_22","Bachelor","m","sourcing",2,24,"1",2,0,52,"No"
"Operations","region_2","Bachelor","m","other",1,33,"4",7,0,62,"No"
"Technology","region_26","Bachelor","m","other",2,30,"3",6,0,83,"No"
"Operations","region_22","Bachelor","f","other",1,26,"No_Rating",1,0,56,"No"
"Procurement","region_30","Bachelor","f","other",1,27,"5",3,0,67,"No"
"Finance","region_22","Master_and_above","m","sourcing",1,30,"2",1,0,61,"No"
"Operations","region_2","Bachelor","m","other",1,36,"5",7,0,56,"No"
"Sales & Marketing","region_2","Bachelor","f","sourcing",2,57,"3",10,0,53,"No"
"Sales & Marketing","region_22","Bachelor","f","other",1,26,"1",3,0,44,"No"
"Operations","region_2","Bachelor","f","other",1,39,"5",9,0,58,"No"
"Sales & Marketing","region_6","Bachelor","f","other",1,32,"5",9,0,45,"No"
"Sales & Marketing","region_2","Bachelor","m","other",1,52,"1",4,0,55,"No"
"Sales & Marketing","region_2","Bachelor","f","other",1,26,"2",3,0,53,"No"
"Operations","region_31","Master_and_above","m","sourcing",1,36,"4",3,0,57,"No"
"HR","region_13","Bachelor","f","sourcing",1,37,"3",3,0,44,"No"
"Sales & Marketing","region_25","Master_and_above","m","other",1,46,"4",3,1,47,"Yes"
"Operations","region_23","Master_and_above","m","sourcing",1,42,"3",7,0,58,"No"
"Procurement","region_22","Bachelor","m","other",4,29,"3",2,0,66,"No"
"Procurement","region_8","Bachelor","f","sourcing",1,32,"2",4,0,69,"No"
"Legal","region_7","Bachelor","m","other",1,38,"3",8,0,60,"No"
"Sales & Marketing","region_22","Bachelor","f","other",2,28,"1",8,0,58,"No"
"Technology","region_5","Master_and_above","m","sourcing",1,44,"3",11,0,78,"No"
"Sales & Marketing","region_31","Bachelor","m","sourcing",1,39,"3",10,0,45,"No"
"Analytics","region_22","Master_and_above","m","sourcing",2,34,"4",5,0,84,"No"
"Operations","region_27","Bachelor","m","other",1,27,"3",3,0,62,"Yes"
"Analytics","region_26","Bachelor","m","other",1,38,"3",9,0,84,"No"
"Technology","region_22","Bachelor","f","referred",1,26,"4",4,0,81,"No"
"Sales & Marketing","region_13","Bachelor","m","sourcing",1,52,"5",12,0,53,"No"
"Procurement","region_16","Bachelor","f","sourcing",1,30,"3",8,0,69,"No"
"Sales & Marketing","region_18","Bachelor","m","sourcing",1,27,"3",2,0,47,"No"
"Operations","region_4","Bachelor","m","other",1,26,"No_Rating",1,0,58,"No"
"Technology","region_31","Bachelor","f","sourcing",2,24,"No_Rating",1,0,82,"No"
"Analytics","region_11","Bachelor","m","other",1,32,"5",6,0,83,"No"
"Operations","region_15","Bachelor","m","other",1,43,"5",11,0,58,"No"
"Sales & Marketing","region_28","Master_and_above","m","sourcing",1,35,"2",11,0,48,"Yes"
"Procurement","region_2","Master_and_above","m","other",2,50,"3",5,0,73,"No"
"HR","region_2","Bachelor","m","other",1,42,"3",12,0,52,"No"
"Legal","region_12","Bachelor","m","other",1,35,"5",7,0,59,"No"
"Analytics","region_22","Master_and_above","m","sourcing",1,29,"4",4,0,84,"No"
"Sales & Marketing","region_19","Bachelor","m","other",2,34,"1",7,0,48,"No"
"Sales & Marketing","region_22","Bachelor","f","sourcing",1,25,"5",3,0,48,"No"
"Operations","region_6","Bachelor","m","other",1,30,"5",2,0,65,"No"
"Sales & Marketing","region_21","Master_and_above","m","other",2,31,"3",4,0,51,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,32,"5",6,0,48,"No"
"R&D","region_26","Bachelor","m","other",3,37,"5",3,0,84,"No"
"Operations","region_14","Bachelor","f","other",1,43,"5",10,0,64,"No"
"Sales & Marketing","region_22","Bachelor","m","referred",1,30,"5",2,0,46,"No"
"Procurement","region_2","Bachelor","f","other",1,37,"4",11,0,73,"No"
"Procurement","region_7","Bachelor","m","other",2,38,"3",10,0,67,"No"
"Sales & Marketing","region_15","Bachelor","m","sourcing",1,31,"2",4,0,48,"No"
"Procurement","region_7","Bachelor","m","other",1,26,"5",2,0,69,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",2,51,"3",24,0,46,"No"
"Technology","region_23","Bachelor","m","other",1,38,"4",5,0,80,"No"
"Procurement","region_2","Master_and_above","f","sourcing",1,36,"1",3,0,70,"No"
"Analytics","region_11","Bachelor","m","sourcing",1,32,"5",7,0,85,"No"
"Technology","region_7","Bachelor","m","sourcing",1,37,"3",5,0,81,"No"
"Procurement","region_25","Master_and_above","f","sourcing",2,32,"4",3,0,72,"No"
"Sales & Marketing","region_14","Bachelor","m","other",1,33,"3",7,0,48,"No"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,32,"2",2,0,51,"No"
"Technology","region_5","Bachelor","f","sourcing",1,24,"No_Rating",1,0,78,"No"
"Sales & Marketing","region_22","Bachelor","f","other",1,25,"2",2,0,51,"No"
"Procurement","region_13","Master_and_above","m","sourcing",1,41,"5",2,0,70,"No"
"Procurement","region_2","Bachelor","m","other",2,51,"3",10,0,70,"No"
"Procurement","region_2","Bachelor","f","other",1,38,"4",10,0,72,"No"
"Sales & Marketing","region_14","Bachelor","m","other",1,28,"5",2,0,51,"No"
"Sales & Marketing","region_13","No_Education","m","sourcing",1,31,"5",2,0,48,"No"
"Operations","region_15","Bachelor","m","other",2,33,"3",7,0,64,"No"
"Sales & Marketing","region_2","Master_and_above","m","sourcing",1,42,"3",9,0,51,"Yes"
"Technology","region_6","Bachelor","f","other",1,29,"3",4,0,78,"No"
"Operations","region_15","No_Education","m","sourcing",2,31,"No_Rating",1,0,63,"No"
"Legal","region_2","Master_and_above","f","sourcing",1,38,"1",10,0,60,"No"
"Operations","region_2","Bachelor","f","other",1,30,"3",7,0,61,"No"
"Operations","region_2","Bachelor","f","other",1,54,"3",24,0,59,"No"
"Operations","region_17","Bachelor","m","other",1,32,"3",6,0,55,"No"
"Sales & Marketing","region_25","Bachelor","m","sourcing",1,32,"3",7,0,47,"No"
"Finance","region_32","Bachelor","m","other",3,28,"2",2,0,55,"No"
"Sales & Marketing","region_32","No_Education","f","other",1,29,"3",5,0,47,"No"
"Finance","region_7","Bachelor","f","other",2,27,"No_Rating",1,0,59,"No"
"HR","region_6","Bachelor","m","sourcing",1,26,"5",3,0,53,"No"
"Sales & Marketing","region_2","Bachelor","f","other",1,45,"2",16,0,46,"No"
"Legal","region_2","Master_and_above","f","other",3,55,"4",17,0,60,"No"
"Procurement","region_24","Master_and_above","f","other",1,33,"No_Rating",1,0,67,"No"
"Procurement","region_7","Master_and_above","f","other",1,34,"3",6,0,71,"No"
"Technology","region_2","Master_and_above","m","other",1,43,"4",15,0,78,"No"
"Operations","region_22","Bachelor","m","other",3,39,"5",9,0,63,"No"
"Operations","region_15","Bachelor","f","sourcing",1,53,"4",3,0,60,"No"
"Procurement","region_2","Master_and_above","m","sourcing",1,50,"2",4,0,69,"No"
"Operations","region_31","Bachelor","m","other",2,30,"No_Rating",1,0,61,"No"
"Sales & Marketing","region_23","Bachelor","m","other",2,28,"3",2,0,45,"No"
"Technology","region_7","Bachelor","f","other",1,42,"5",13,0,79,"No"
"Finance","region_2","Master_and_above","m","other",1,54,"5",19,0,61,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",2,54,"4",12,0,49,"No"
"Operations","region_2","Master_and_above","f","other",1,54,"5",13,0,59,"No"
"Technology","region_7","Bachelor","m","other",3,28,"4",5,0,80,"No"
"Sales & Marketing","region_15","Bachelor","m","other",1,45,"4",5,0,47,"No"
"Technology","region_7","Bachelor","m","sourcing",2,34,"3",7,0,81,"No"
"Sales & Marketing","region_22","No_Education","m","sourcing",1,29,"3",3,0,49,"No"
"Sales & Marketing","region_4","Bachelor","m","sourcing",1,41,"3",5,0,51,"No"
"Sales & Marketing","region_15","Bachelor","m","sourcing",1,28,"3",2,0,53,"No"
"Operations","region_9","Bachelor","m","other",3,36,"3",7,0,55,"No"
"Operations","region_2","Bachelor","f","other",1,27,"4",5,0,59,"No"
"Analytics","region_20","Bachelor","m","sourcing",1,28,"5",4,0,81,"No"
"Sales & Marketing","region_9","Bachelor","m","other",1,37,"3",4,0,54,"No"
"Operations","region_2","Bachelor","m","referred",1,33,"4",7,0,54,"No"
"Operations","region_7","Bachelor","f","other",1,31,"4",2,0,56,"No"
"Finance","region_13","Bachelor","m","other",1,33,"5",6,0,61,"No"
"Analytics","region_22","Bachelor","m","other",1,35,"1",5,0,89,"No"
"Operations","region_2","Bachelor","f","sourcing",1,54,"3",19,0,62,"No"
"HR","region_26","Bachelor","m","other",1,29,"5",4,0,51,"No"
"Sales & Marketing","region_25","Master_and_above","m","sourcing",1,33,"1",7,0,45,"No"
"Analytics","region_2","Bachelor","m","sourcing",1,37,"3",9,0,84,"No"
"Technology","region_9","Bachelor","m","other",1,31,"4",7,0,78,"No"
"Technology","region_2","Bachelor","f","sourcing",1,45,"3",3,0,76,"No"
"Procurement","region_29","Master_and_above","m","other",1,41,"3",7,1,70,"No"
"Procurement","region_5","Master_and_above","f","other",2,33,"3",6,0,70,"No"
"Technology","region_16","Bachelor","m","other",1,39,"4",12,0,79,"No"
"Procurement","region_15","Bachelor","f","referred",1,35,"5",8,0,70,"Yes"
"Sales & Marketing","region_22","Master_and_above","m","sourcing",1,42,"5",10,0,52,"No"
"Technology","region_14","Master_and_above","f","other",1,43,"3",18,0,85,"No"
"Procurement","region_26","Master_and_above","f","other",1,37,"4",4,0,78,"Yes"
"Sales & Marketing","region_32","Bachelor","m","other",2,28,"5",3,0,48,"No"
"Technology","region_22","Master_and_above","m","sourcing",1,30,"3",10,0,75,"No"
"Technology","region_16","Bachelor","m","other",1,34,"3",5,0,85,"No"
"Procurement","region_22","Master_and_above","m","sourcing",1,33,"3",7,0,74,"No"
"Sales & Marketing","region_25","Master_and_above","m","sourcing",1,32,"5",7,0,51,"No"
"Sales & Marketing","region_16","Bachelor","m","sourcing",1,56,"3",15,0,48,"No"
"Finance","region_2","Master_and_above","m","sourcing",2,53,"3",14,0,64,"No"
"Analytics","region_22","Bachelor","m","sourcing",1,37,"5",7,1,86,"No"
"Finance","region_2","Master_and_above","f","other",1,55,"5",17,0,60,"No"
"Technology","region_22","Bachelor","m","sourcing",1,36,"1",5,0,82,"No"
"Sales & Marketing","region_8","Master_and_above","m","other",1,31,"5",5,0,52,"No"
"Technology","region_4","Master_and_above","m","other",1,50,"3",22,0,83,"No"
"Operations","region_31","Bachelor","m","other",1,27,"5",4,0,62,"No"
"Operations","region_2","Bachelor","m","other",1,38,"4",6,0,61,"No"
"Procurement","region_7","Master_and_above","m","other",1,32,"4",4,0,70,"No"
"Technology","region_5","Bachelor","f","other",1,24,"3",3,0,79,"No"
"Sales & Marketing","region_13","Bachelor","m","sourcing",1,38,"5",9,1,93,"Yes"
"Technology","region_7","Bachelor","f","other",1,39,"4",8,0,84,"No"
"Technology","region_5","Bachelor","f","other",1,29,"3",3,0,77,"Yes"
"Technology","region_2","Master_and_above","f","other",1,46,"3",15,0,75,"No"
"Sales & Marketing","region_21","Bachelor","f","other",1,30,"2",6,0,52,"No"
"Procurement","region_27","Bachelor","m","sourcing",2,27,"5",3,0,71,"No"
"Operations","region_13","Master_and_above","f","other",1,36,"3",10,0,61,"No"
"Sales & Marketing","region_28","Bachelor","f","sourcing",2,29,"3",7,0,47,"No"
"Technology","region_2","Bachelor","m","sourcing",1,25,"3",2,0,82,"No"
"Operations","region_22","Bachelor","f","other",2,26,"No_Rating",1,0,56,"No"
"Operations","region_22","Bachelor","f","other",1,39,"3",13,0,60,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",1,34,"5",3,0,53,"No"
"Finance","region_11","Bachelor","m","sourcing",1,27,"5",4,0,74,"Yes"
"HR","region_2","Bachelor","f","other",1,40,"2",5,0,50,"No"
"Analytics","region_2","Bachelor","m","other",1,52,"2",17,0,85,"No"
"Finance","region_2","Bachelor","m","other",1,28,"5",2,0,59,"No"
"Operations","region_14","Bachelor","m","sourcing",1,32,"3",3,0,60,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,46,"3",17,0,51,"No"
"Sales & Marketing","region_6","Bachelor","m","other",2,36,"3",10,0,50,"No"
"Sales & Marketing","region_7","Bachelor","f","sourcing",1,29,"5",5,0,50,"No"
"Operations","region_22","Bachelor","f","other",1,26,"3",3,0,61,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",4,39,"1",9,0,51,"No"
"Technology","region_7","Bachelor","m","other",3,27,"5",2,0,78,"Yes"
"Finance","region_2","Bachelor","f","sourcing",1,28,"3",2,0,56,"No"
"Procurement","region_19","Bachelor","m","other",1,32,"5",2,0,68,"No"
"Technology","region_16","Bachelor","m","sourcing",1,36,"4",4,0,81,"No"
"Operations","region_19","Bachelor","m","sourcing",1,37,"1",3,0,58,"No"
"Operations","region_15","Bachelor","m","sourcing",1,28,"3",2,0,62,"No"
"Operations","region_7","Bachelor","m","sourcing",1,28,"3",4,0,61,"No"
"Sales & Marketing","region_32","Bachelor","m","sourcing",1,30,"3",5,0,50,"No"
"HR","region_10","Master_and_above","m","sourcing",1,36,"5",4,0,51,"No"
"Operations","region_7","Master_and_above","m","other",1,33,"3",8,0,63,"No"
"Sales & Marketing","region_15","Master_and_above","m","sourcing",1,32,"4",7,0,52,"No"
"Operations","region_7","Bachelor","f","other",1,34,"4",5,0,61,"No"
"Operations","region_2","Bachelor","m","sourcing",1,35,"5",10,0,57,"No"
"Sales & Marketing","region_23","Bachelor","m","other",1,32,"5",5,0,52,"No"
"Technology","region_31","Bachelor","m","sourcing",1,31,"5",5,0,80,"No"
"Analytics","region_25","Bachelor","m","sourcing",1,30,"No_Rating",1,0,81,"No"
"Finance","region_23","Master_and_above","m","other",1,36,"1",4,0,62,"No"
"Operations","region_12","Bachelor","m","other",1,27,"2",4,0,62,"No"
"Analytics","region_15","Bachelor","m","sourcing",2,29,"4",3,0,80,"Yes"
"Finance","region_2","Bachelor","m","sourcing",1,35,"4",8,0,59,"No"
"Sales & Marketing","region_28","Master_and_above","m","sourcing",1,40,"4",5,0,49,"No"
"Finance","region_4","Bachelor","m","other",1,30,"4",3,0,60,"No"
"Sales & Marketing","region_14","Bachelor","m","sourcing",1,27,"5",4,0,47,"No"
"Sales & Marketing","region_15","Bachelor","m","sourcing",1,42,"3",7,0,49,"No"
"Finance","region_22","Master_and_above","m","sourcing",1,33,"5",6,0,59,"No"
"Finance","region_5","Bachelor","m","sourcing",1,28,"3",4,0,58,"No"
"Finance","region_22","Bachelor","m","sourcing",1,30,"No_Rating",1,0,59,"No"
"Procurement","region_2","Bachelor","m","sourcing",1,30,"4",4,0,72,"No"
"Technology","region_22","Bachelor","m","sourcing",1,29,"3",4,0,82,"No"
"Procurement","region_7","Master_and_above","m","other",1,39,"4",4,0,69,"No"
"HR","region_16","Bachelor","m","other",1,34,"3",5,0,49,"No"
"Sales & Marketing","region_7","Bachelor","m","other",1,55,"4",21,0,50,"No"
"Sales & Marketing","region_23","Bachelor","m","other",1,29,"3",7,0,49,"No"
"Analytics","region_7","Master_and_above","m","sourcing",1,35,"2",8,0,84,"No"
"Procurement","region_22","Bachelor","m","other",2,27,"3",5,0,68,"No"
"Analytics","region_28","Master_and_above","m","sourcing",2,35,"3",8,0,85,"Yes"
"Sales & Marketing","region_10","Bachelor","m","other",2,32,"4",5,0,54,"No"
"Operations","region_33","Master_and_above","m","other",1,39,"5",7,0,61,"No"
"Operations","region_16","Bachelor","m","sourcing",1,23,"No_Rating",1,0,62,"No"
"Legal","region_2","Bachelor","f","sourcing",1,28,"No_Rating",1,0,58,"No"
"Operations","region_7","Bachelor","f","other",1,30,"5",2,0,60,"No"
"Sales & Marketing","region_28","Bachelor","m","other",1,24,"3",1,0,46,"No"
"Sales & Marketing","region_22","Bachelor","m","sourcing",3,34,"2",10,0,48,"No"
"Technology","region_27","Bachelor","f","sourcing",1,34,"3",9,0,76,"No"
"Procurement","region_13","Master_and_above","f","sourcing",1,41,"3",2,0,70,"No"
"Procurement","region_2","Bachelor","f","sourcing",1,55,"3",8,0,73,"No"
"Finance","region_22","Bachelor","m","other",1,30,"3",7,0,59,"No"
"Operations","region_34","Master_and_above","f","sourcing",1,35,"3",6,0,58,"No"
"Sales & Marketing","region_28","Master_and_above","f","sourcing",1,31,"No_Rating",1,0,51,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",2,40,"3",12,0,50,"No"
"Procurement","region_26","Bachelor","m","other",1,31,"3",4,0,70,"No"
"Technology","region_13","Bachelor","f","sourcing",1,32,"3",6,0,85,"No"
"Technology","region_7","Bachelor","m","sourcing",2,41,"2",12,0,78,"No"
"Sales & Marketing","region_7","Master_and_above","m","sourcing",2,34,"5",5,0,50,"Yes"
"Technology","region_16","Master_and_above","m","other",1,39,"3",8,0,78,"No"
"Procurement","region_7","Master_and_above","f","other",1,50,"5",23,0,72,"No"
"Sales & Marketing","region_22","Master_and_above","f","other",1,35,"1",6,0,48,"No"
"R&D","region_22","Bachelor","m","other",1,32,"3",4,0,78,"No"
"Sales & Marketing","region_4","Bachelor","m","sourcing",2,26,"3",5,0,44,"No"
"Finance","region_26","Bachelor","m","other",1,29,"4",4,0,59,"No"
"Operations","region_25","Bachelor","f","other",1,29,"5",7,0,60,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,27,"No_Rating",1,0,53,"No"
"Procurement","region_7","Bachelor","m","sourcing",1,36,"3",7,0,71,"No"
"Operations","region_16","Master_and_above","f","other",1,32,"4",2,0,62,"No"
"Sales & Marketing","region_13","Bachelor","m","other",1,22,"5",2,0,56,"No"
"Sales & Marketing","region_2","No_Education","m","other",1,21,"1",2,0,44,"No"
"Finance","region_22","Bachelor","m","other",1,25,"1",3,1,67,"Yes"
"Procurement","region_11","Bachelor","f","other",1,29,"1",6,0,67,"No"
"Sales & Marketing","region_4","Master_and_above","m","other",2,52,"3",7,0,50,"No"
"Sales & Marketing","region_22","No_Education","m","other",3,25,"No_Rating",1,0,45,"No"
"Sales & Marketing","region_7","Bachelor","m","other",1,31,"4",4,0,53,"No"
"Analytics","region_29","Bachelor","m","sourcing",1,28,"4",2,0,88,"No"
"Sales & Marketing","region_25","Bachelor","m","sourcing",1,26,"2",4,0,51,"No"
"Operations","region_2","Bachelor","m","other",2,47,"3",9,0,56,"No"
"HR","region_23","Master_and_above","m","sourcing",1,36,"5",10,0,52,"No"
"Procurement","region_7","Bachelor","f","sourcing",1,26,"1",2,0,69,"No"
"Sales & Marketing","region_11","Bachelor","m","sourcing",1,31,"3",6,0,51,"No"
"Analytics","region_16","Master_and_above","m","other",2,34,"3",9,0,85,"No"
"Operations","region_15","Bachelor","f","sourcing",1,33,"4",5,0,60,"No"
"Procurement","region_2","Bachelor","f","sourcing",2,60,"1",8,0,70,"No"
"Sales & Marketing","region_13","Master_and_above","m","other",1,39,"5",10,0,51,"No"
"Finance","region_2","Bachelor","f","other",1,25,"3",3,0,63,"No"
"Operations","region_7","Master_and_above","m","sourcing",1,50,"5",18,0,60,"No"
"Operations","region_2","Below_Secondary","m","sourcing",1,21,"3",2,0,61,"No"
"Technology","region_7","Master_and_above","m","other",1,31,"4",10,0,80,"No"
"Procurement","region_2","Bachelor","f","sourcing",1,44,"1",11,0,74,"No"
"Operations","region_22","Bachelor","m","other",1,30,"3",4,1,59,"Yes"
